typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73","false","-1","N/A",,"false","73","false",,"false",,"449","449","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","642","ROU","Romania","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45","false","-1","N/A",,"false","45","false",,"false",,"192","192","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H4","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","993939928","false","-1","N/A",,"false","993939928","false",,"false",,"177649664","177649664","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","121784062","false","-1","N/A",,"false","121784062","false",,"false",,"26485153","26485153","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","533","false","-1","N/A",,"false","533","false",,"false",,"751","751","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","251","FRA","France","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66393302","false","-1","N/A",,"false","66393302","false",,"false",,"11607422","11607422","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","129252121","false","-1","N/A",,"false","129252121","false",,"false",,"25518363","25518363","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","348","HUN","Hungary","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1096","false","-1","N/A",,"false","1096","false",,"false",,"826","826","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","372","IRL","Ireland","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","88428340","false","-1","N/A",,"false","88428340","false",,"false",,"16177813","16177813","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5060832","false","-1","N/A",,"false","5060832","false",,"false",,"908297","908297","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","528","NLD","Netherlands","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","182557339","false","-1","N/A",,"false","182557339","false",,"false",,"33016364","33016364","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","616","POL","Poland","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2103","false","-1","N/A",,"false","2103","false",,"false",,"2316","2316","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","642","ROU","Romania","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","343","false","-1","N/A",,"false","343","false",,"false",,"1246","1246","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","724","ESP","Spain","0","W00","World","H4","HS","true","1003","Barley","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","449426437","false","-1","N/A",,"false","449426437","false",,"false",,"76893920","76893920","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","56","BEL","Belgium","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4396","false","-1","N/A",,"false","4396","false",,"false",,"4969","4969","0","true","false",
"C","A","20160101","2016","52","2016","826","GBR","United Kingdom","X","Export","203","CZE","Czechia","0","W00","World","H4","HS","true","1005","Maize (corn)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2825","false","-1","N/A",,"false","2825","false",,"false",,"6217","6217","0","true","false",
